CycPeptMPDB_ID,Structurally_Unique_ID,Sequence,Monomer_Length,Molecule_Shape,Permeability,MolWt,ExactMolWt,Permeable
1,1,AbuSarmeLVmeLAdAmeLmeLmeVMe_Bmt(E),11,Circle,-6.6,1202635.0,1201.841368,1
2,2,dLdLLdLPY,6,Circle,-6.2,712933.0,712.4523483,1
3,3,dLdLdLdLPY,6,Circle,-7.0,712933.0,712.4523483,1
4,4,LLLdLPY,6,Circle,-7.1,712933.0,712.4523483,1
5,5,LdLdLdLPY,6,Circle,-7.2,712933.0,712.4523483,1
6,6,LLLLdPY,6,Circle,-7.3,712933.0,712.4523483,1
7,7,dLdLdLdLdPY,6,Circle,-7.3,712933.0,712.4523483,1
8,8,LLdLdLPY,6,Circle,-7.3,712933.0,712.4523483,1
9,9,LdLLdLdPY,6,Circle,-8.1,712933.0,712.4523483,1
10,10,LdLLLdPY,6,Circle,-8.1,712933.0,712.4523483,1
11,11,Tyr(Me)PdLdLdLL,6,Circle,-6.47,726.96,726.4679983,1
12,12,Tyr(Me)PdPdLLL,6,Circle,-7.05,710917.0,710.4366982,1
13,13,Tyr(Me)PLLdPdL,6,Circle,-7.27,710917.0,710.4366982,1
14,14,Tyr(Me)PLdLdLdL,6,Circle,-7.16,726.96,726.4679983,1
15,15,Tyr(Me)PdLdLdLdL,6,Circle,-6.52,726.96,726.4679983,1
16,16,Tyr(Me)PdLLdLdL,6,Circle,-6.68,726.96,726.4679983,1
17,17,Tyr(Me)dPLdPdLPdL,7,Circle,-7.29,808034.0,807.489462,1
18,18,Tyr(Me)dPLLdLL,6,Circle,-6.75,726.96,726.4679983,1
19,19,Tyr(Me)dPLdLPLL,7,Circle,-6.95,824077.0,823.5207622,1
20,20,Tyr(Me)dPLdPdLdLL,7,Circle,-7.12,824077.0,823.5207622,1
21,21,Tyr(Me)dPLLdLLdL,7,Circle,-6.41,840.12,839.5520623,1
22,1,AbuSarmeLVmeLAdAmeLmeLmeVMe_Bmt(E),11,Circle,-5.96,1202635.0,1201.841368,0
23,10,LdLLLdPY,6,Circle,-5.74,712933.0,712.4523483,0
24,24,dLLLLdPY,6,Circle,-6.3,712933.0,712.4523483,1
25,25,LMe_dLmeLLdPmeY,6,Circle,-5.31,755014.0,754.4992985,0
26,26,Me_dLmeLLmeLdPmeY,6,Circle,-5.39,769041.0,768.5149485,0
27,27,meLMe_dLmeLmeLdPmeY,6,Circle,-5.46,783068.0,782.5305986,0
28,28,Me_dLmeLmeLmeLdPmeY,6,Circle,-5.21,783068.0,782.5305986,0
29,29,SMe_dLmeLLdPmeY,6,Circle,-5.72,728932.0,728.4472629,0
30,30,LMe_dLmeSLdPmeY,6,Circle,-5.8,728932.0,728.4472629,0
31,31,LMe_dLmeLSdPmeY,6,Circle,-6.12,728932.0,728.4472629,1
32,25,LdPmeYLMe_dLmeL,6,Circle,-5.31,755014.0,754.4992985,0
33,30,LdPmeYLMe_dLmeS,6,Circle,-5.81,728932.0,728.4472629,0
34,34,LdPmeYLMe_dLmeT,6,Circle,-5.33,742959.0,742.4629129,0
35,35,LdPmeYLMe_dLmeI,6,Circle,-5.49,755014.0,754.4992985,0
36,36,LdPmeYLMe_dLmeA,6,Circle,-5.26,712933.0,712.4523483,0
37,37,LdPmeYLMe_dLmeY,6,Circle,-5.89,805.03,804.478563,0
38,38,LdPmeYLMe_dLmeF,6,Circle,-5.24,789031.0,788.4836484,0
39,39,LdPmeYLMe_dLmeW,6,Circle,-6.66,828068.0,827.4945474,1
40,40,LdPmeYLMe_dLmeD,6,Circle,-6.34,756942.0,756.4421775,1
41,41,LdPmeYLMe_dLmeK,6,Circle,-6.56,770029.0,769.5101975,1
42,42,LdPmeYLMe_dLMe_Lys(Me),6,Circle,-6.63,784056.0,783.5258475,1
43,43,LdPmeYLMe_dLMe_Cha,6,Circle,-6.74,795079.0,794.5305986,1
44,44,LdPmeYLMe_dLMono3,6,Circle,-6.15,810094.0,809.5414976,1
45,45,LdPmeYLMe_dLMono4,6,Circle,-5.84,824077.0,823.5207622,0
46,46,LdPmeYLMe_dLMe_Abu(morpholino),6,Circle,-5.92,812066.0,811.5207622,0
47,47,LdPmeYLMe_dLMono5,6,Circle,-6.2,826049.0,825.5000267,1
607,607,dAmeLmeLmeLmeSLSarmeLLmeLMono7,11,Circle,-4.48,1190624.0,1189.841368,0
608,608,VmeLLdLmeLmeLmeLmeSLSarMono7,11,Circle,-4.3,1204651.0,1203.857018,0
609,609,SarmeLLmeLAbudLmeLmeLmeLmeSMono7,11,Circle,-4.34,1204651.0,1203.857018,0
610,610,meLmeLmeSLSarmeLVmeLLdLMono7,11,Circle,-4.49,1204651.0,1203.857018,0
611,611,LdLmeLmeLmeLmeSLSarmeLVMono7,11,Circle,-4.54,1204651.0,1203.857018,0
612,612,meLmeLmeLmeSLSarmeLLmeLAMono7,11,Circle,-4.48,1190624.0,1189.841368,0
613,613,meLAbudAmeLmeLmeLmeSAoc(2)SarmeLMono7,11,Circle,-4.31,1190624.0,1189.841368,0
614,614,meLAoc(2)meLAdAmeLmeLmeLmeSAbuMono7,11,Circle,-4.54,1190624.0,1189.841368,0
615,615,LSarmeLAoc(2)meLSdAmeLmeLmeLMono7,11,Circle,-4.54,1204651.0,1203.857018,0
616,616,meSAoc(2)SarmeLVmeLAbudLmeLmeLMono7,11,Circle,-4.28,1204651.0,1203.857018,0
617,617,meLAdAmeLmeLmeLmeSLSarmeLMono7,11,Circle,-4.66,1148543.0,1147.794418,0
618,618,meLAmeLAdLmeLmeLmeLmeSAbuMono7,11,Circle,-4.59,1162.57,1161.810068,0
619,619,AbuSarmeLLmeLSdAmeLmeLmeLMono7,11,Circle,-4.62,1148543.0,1147.794418,0
620,620,meSLSarmeLVmeLVdAmeLmeLMono7,11,Circle,-4.52,1148543.0,1147.794418,0
621,621,meLmeSVSarmeLVmeLLdAmeLMono7,11,Circle,-4.48,1148543.0,1147.794418,0
622,622,SarmeLVmeLAdAmeLmeLmeLmeSMono8,11,Circle,-4.64,1188486.0,1187.750502,0
623,623,meLAbumeLAdAmeLmeLmeLmeSAbuMono8,11,Circle,-4.47,1188486.0,1187.750502,0
624,624,LdAmeLmeLmeLmeSAbuSarmeLVMono8,11,Circle,-4.52,1188486.0,1187.750502,0
625,625,meSLSarmeLLmeLAdAmeLmeLMono8,11,Circle,-4.62,1188486.0,1187.750502,0
717,717,Me_dAFmeLSer(tBu)FPTLmeAmeAGMono7,12,Circle,-5.21,1273585.0,1272.748196,0
718,718,Me_dAmeAFmeAVmeVGmeFTmeALMono7,12,Circle,-5.0,1217521.0,1216.721981,0
719,719,Me_dAFmeLSer(tBu)FPTLmeAmeIGMono7,12,Circle,-4.49,1315666.0,1314.795146,0
720,720,Me_dAmeAFmeLVmeIGmeFTmeALMono7,12,Circle,-4.44,1273629.0,1272.784581,0
721,721,Me_BalFmeFmeLTmeAmeIAmeLSer(tBu)meLMono7,12,Circle,-4.52,1387817.0,1386.889046,0
722,722,Me_dAmeLFmeLVmeIGmeFTmeLLMono7,12,Circle,-4.48,1357791.0,1356.878482,0
723,723,Me_BalFmeFmeLTmeAmeILmeLSer(tBu)meLMono7,12,Circle,-4.62,1429898.0,1428.935997,0
724,724,meAmeFAmeLTFmeImeAmeLSer(tBu)meLMono7,12,Circle,-4.57,1387817.0,1386.889046,0
725,725,dVmeIAmeLTFmeFmeLSer(tBu)meLmeAMono7,12,Circle,-4.55,1401844.0,1400.904697,0
726,726,meAmeFLmeLTFmeImeAmeLSer(tBu)meLMono7,12,Circle,-5.04,1429898.0,1428.935997,0
727,727,Me_dAmeLFmeLVmeIGMe_Phe(3-Cl)TmeLLMono7,12,Circle,-4.89,1392236.0,1390.839509,0
728,728,Me_BalmeFmeATmeAFmeVmeLmeAAMono7,11,Circle,-5.6,1146442.0,1145.684867,0
729,729,dAmeLmeATSarFmeVAmeLLMono7,11,Circle,-5.3,1112425.0,1111.700517,0
730,730,meATSarmeFmeFmeAPmeLAmeAMono7,11,Circle,-5.52,1130399.0,1129.653567,0
731,731,AGmeLmeAmeAmeFTmeFmeLPMono7,11,Circle,-4.89,1158453.0,1157.684867,0
732,732,AGmeLmeImeAmeFTmeFmeLPMono7,11,Circle,-4.52,1200534.0,1199.731818,0
733,733,meATSarmeFmeFmeLPmeLAmeVMono7,11,Circle,-4.6,1200534.0,1199.731818,0
734,734,Me_dAmeLLmeVTmeAImeFAFMono7,11,Circle,-4.28,1202.55,1201.747468,0
735,735,meAmeLmeLTFmeAAmeVmeLIMono7,11,Circle,-4.48,1182.56,1181.778768,0
736,736,meAmeFLmeLTSarmeISer(tBu)meFmeVMono7,11,Circle,-4.33,1288684.0,1287.820633,0
737,737,meAmeLmeLTFmeLAmeLmeLIMono7,11,Circle,-4.15,1238668.0,1237.841368,0
738,738,dVmeImeLAmeLmeFTmeFmeLmeAMono7,11,Circle,-4.34,1272685.0,1271.825718,0
739,739,meATSarmeFmeFmeAPmeLAoc(2)meVMono7,11,Circle,-4.59,1228588.0,1227.763118,0
740,740,meAmeFAoc(2)meLTSarmeASer(tBu)meFmeVMono7,11,Circle,-4.43,1274657.0,1273.804982,0
741,741,meAmeLmeLTPhe(4-CF3)meLAmeLmeLIMono7,11,Circle,-4.74,1306665.0,1305.828753,0
742,742,Me_BalSer(tBu)meLmeLTmeFGmeVFMono7,10,Circle,-4.41,1147.47,1146.705268,0
743,743,Mono6AmeLImeFmeAmeVFTMono7,10,Circle,-4.59,1103417.0,1102.679054,0
744,744,meAmeFSarmeLTmeAmeLmeISer(tBu)Mono7,10,Circle,-4.43,1113453.0,1112.720919,0
745,745,dVmeFmeLImeAmeFTmeAmeLMono7,10,Circle,-4.39,1145498.0,1144.726004,0
746,746,dVmeFmeLImeLmeFTmeAmeLMono7,10,Circle,-4.54,1187579.0,1186.772954,0
747,747,dVmeFmeLImeLMe_Phe(3-Cl)TmeAmeLMono7,10,Circle,-5.0,1222024.0,1220.733982,0
748,748,Me_dAmeAImeLmeFTmeFmeAmeLMono7,10,Circle,-4.51,1131471.0,1130.710354,0
749,749,Me_dAFmeLFLLTGmeFMono7,10,Circle,-4.34,1137434.0,1136.663404,0
750,750,Mono6TmeAmeFSer(tBu)meLmeFGMono7,9,Circle,-4.54,1020283.0,1019.605554,0
751,751,dAmeAmeFmeATmeAmeLSer(tBu)Mono7,9,Circle,-5.23,944185.0,943.5742543,0
752,752,dAmeAmeFmeLTmeAmeLSer(tBu)Mono7,9,Circle,-4.54,986266.0,985.6212045,0
753,753,dVATmeAFmeLmeFmeLMono7,9,Circle,-4.31,1004284.0,1003.61064,0
754,754,Me_dAmeFmeLTSarSer(tBu)meLmeIMono7,9,Circle,-4.46,1028347.0,1027.668155,0
755,755,dVLTmeAPhe(4-CF3)meLmeFmeLMono7,9,Circle,-4.25,1114362.0,1113.644975,0
756,756,meAmeFLmeLmeLFmeLTMono7,9,Circle,-4.39,1074419.0,1073.68889,0
